ID,Name,Department,Appointment
1,Dr. Ahmed El-Sayed,Cardiology,3
2,Dr. Leila Nasser,Neurology,1
3,Dr. Mohamed Hassan,Orthopedics,2
4,Dr. Sara Gamal,Pediatrics,0
5,Dr. Tarek Mostafa,Emergency,4
6,Dr. Hoda Kamal,General,2
7,Dr. Samir Farid,Cardiology,1
8,Dr. Mona Ayman,Neurology,3
9,Dr. Youssef Saber,Orthopedics,0
10,Dr. Dina Khalil,Pediatrics,2
11,Dr. Khaled Hossam,Emergency,5
12,Dr. Nora Adel,General,1
13,Dr. Osama Amin,Cardiology,2
14,Dr. Rania Fathy,Neurology,4
15,Dr. Amr Yasser,Orthopedics,1
16,Dr. Laila Ibrahim,Pediatrics,0
17,Dr. Tamer Sabry,Emergency,3
18,Dr. Hanan Nabil,General,2
19,Dr. Walid Soliman,Cardiology,1
20,Dr. Samira Ezzat,Neurology,2
21,Dr. Ahmed El-Sayed,Cardiology,3
22,Dr. Mona Hassan,Neurology,2
23,Dr. Tamer Farouk,Orthopedics,1
24,Dr. Fatima Nasser,Pediatrics,4
25,Dr. Youssef Kamal,Emergency,0
26,Dr. Leila Mostafa,General,2
27,Dr. Omar Abdelrahman,Cardiology,5
28,Dr. Sara Gaber,Neurology,1
29,Dr. Mohamed Hossam,Orthopedics,3
30,Dr. Hala Anwar,Pediatrics,2
31,Dr. Amr Khalil,Emergency,4
32,Dr. Dalia Said,General,1
33,Dr. Khaled Yassin,Cardiology,2
34,Dr. Rania Essam,Neurology,0
35,Dr. Tarek Mansour,Orthopedics,2
36,Dr. Nawal Fathy,Pediatrics,3
37,Dr. Sameh Soliman,Emergency,1
38,Dr. Manar Ehab,General,2
39,Dr. Karim Abdelaziz,Cardiology,0
40,Dr. Salma Ezzat,Neurology,3
41,Dr. Ahmed El-Sayed,Cardiology,2
42,Dr. Mona Khalil,Neurology,1
43,Dr. Tarek Nasser,Orthopedics,0
44,Dr. Sara Mostafa,Pediatrics,3
45,Dr. Omar Fathi,Emergency,2
46,Dr. Laila Hossam,General,4
47,Dr. Hossam Abdelrahman,Cardiology,1
48,Dr. Dina Ezzat,Neurology,2
49,Dr. Mohamed Samir,Orthopedics,1
50,Dr. Rania Youssef,Pediatrics,3
51,Dr. Walid Gerges,Emergency,0
52,Dr. Nadia Ashraf,General,2
53,Dr. Hani Maher,Cardiology,3
54,Dr. Mai Elmasry,Neurology,1
